ɣīp;splash/splatter
ɣunʒ;grumble
ɣur;drown/honk
ɣurɣ̌;growl
ɣurɣ̌;growl/snarl
ɣurz;mutter/grumble
ɣut;hiss_(about_a_goose)
ɣůr;thunder/rumble
ɣ̌al;ring
ɣ̌al;clang/string
ɣ̌alen;make_clang
ɣ̌alēn;ring
ɣ̌alůn;clang
ɣ̌ām;clang_because_of_cold
ɣ̌āš;clang_because_of_cold
ɣ̌ibux̌;finish_(about_knitting)
ɣ̌ibůng;beat
ɣ̌īp;splash/splatter
ɣ̌īf;splash/splatter
ɣ̌īb;splash/splatter
ɣ̌ībůng;beat/hit
ɣ̌ůl;splash/splatter
ʒar;discharge_gases
ʒur;discharge_gases
ʒêɣ;bleat
ʒêɣ;bleat
ʒil;mutter
ʒilɣeɣ̌;ferment
ʒir;chirm
ʒirɣ̌;make_a_noise_(about_the_kettle)
ʒīɣ;strum/scrape
ʒīɣ̌ʒ;cry_softly
ǰaɣ;cry
ǰaq;bark
ǰaq;bark/shout
ǰiraɣ;cry
ǰiraɣ;weep/cry_loudly/yell
ǰiraq;bark
ǰirang;beat/bruise
ǰuk;hit
ǰumb;swing
ǰunb;swing
ǰumb;rock/swing
ǰund;rock/swing
ǰumben;shake
ǰumbēn;shake
ǰunbēn;shake
kafc;pierce
kaɣ̌;slaughter_(animal)
kaɣ̌;cut/kill
kar;rustle/scrape
karx̌;squeak/creak
kêx;cough
kêx;cough
kidêʒ;pour_out
kidêʒ;pour_out
kidêz;pour_out
kidoys;flow_out
kidoys;flow_out
kigīx̌;torture_someone
kilax;squeak/creak
kin;do
kin;do/make
kirand;scrape
kirānd;scrape
kirêx̌;move_(trans.)
kirêx̌;move_something_apart
kirêz;pour_out
kirīws;flow_out
kirīws;flow_out
kirīws;flow_out
kirš;thunder/shatter
kiš;chatter_(about_a_magpie)
kiten;drag
kowůn;peck_at
kōwůn;pick_(tooth/nose)
laɣ̌ʒēn;make_tremble
laq;dangle/swing
laqen;rock
lax;knock
lāxc;limp
luc;hesitate
lup;stamp
luq;gurgle
lův;sing
lův;speak/sing
mar;die
mar;die
marɣ̌;growl/snarl
māw;mew
mez;urinate
mez;urinate
mēz;urinate
mol;dress_an_animal's_skin
moz;cultivate/process
mōz;treat_(fur)
můr;move_slowly
naɣ̌;blow_with_whistle
naɣ̌en;rotate
naɣ̌ʒimb;deliver
naɣ̌ʒinb;deliver
naɣ̌ʒimb;lead_someone
naɣ̌ǰīs;cross
naɣ̌ǰīs;come
naɣ̌ǰīs;come
naraysen;finish_with
nawen;make_cry
nax̌fen;pull_out
nax̌fēn;pull_out
nix̌fēn;pull_out
nax̌fī;be_pulled_out
nax̌fīƟ;twist
nax̌fīƟ;leave
nax̌ti;leave
nax̌ti;leave/go_out
nax̌ti;be_pulled_out
nālf;moan/groan
nāw;cry
nāw;cry
nêð;make_sit
nêð;seat/offer_a_seat
nêɣ̌;make_turn
nêɣ̌;rotate_something
niðafc;stick
niðafc;stick_to_something
niðafc;stick_to_something
niðemb;stick_something
niðēmb;make_stick
nigůl;dip
niɣůɣ̌;hear
nikax̌;stare/gaze
nimêð;prepare_sour_cream
nimêð;make_milk_sour
nimêw;show/point_at
nimoy;show
nimoy;show_up
nimōy;show_up
niƟ;sit
niƟ;sit/sit_down
niƟ;sit_down
niviš;write
niviš;write
niwōz;play_(musical_instruments)
niwoz;play
